id,timestamp,sensor_dir,sensorvalue_x,sensorvalue_y,sensorvalue_z
600,2025-11-26 12:47:15,5,1496,1539,1195
599,2025-11-26 12:47:15,5,1497,1539,1201
598,2025-11-26 12:47:15,5,1496,1531,1194
597,2025-11-26 12:47:15,5,1502,1538,1201
596,2025-11-26 12:47:15,5,1498,1538,1203
595,2025-11-26 12:47:15,5,1499,1538,1204
594,2025-11-26 12:47:15,5,1499,1534,1207
593,2025-11-26 12:47:15,5,1504,1531,1211
592,2025-11-26 12:47:15,5,1502,1535,1206
591,2025-11-26 12:47:15,5,1503,1530,1208
590,2025-11-26 12:47:15,5,1504,1533,1206
589,2025-11-26 12:47:15,5,1503,1524,1204
588,2025-11-26 12:47:15,5,1500,1529,1201
587,2025-11-26 12:47:15,5,1497,1531,1209
586,2025-11-26 12:47:15,5,1502,1533,1204
585,2025-11-26 12:47:15,5,1504,1538,1204
584,2025-11-26 12:47:15,5,1495,1536,1206
583,2025-11-26 12:47:15,5,1504,1546,1203
582,2025-11-26 12:47:15,5,1500,1536,1202
581,2025-11-26 12:47:15,5,1497,1539,1209
580,2025-11-26 12:47:15,5,1499,1535,1203
579,2025-11-26 12:47:15,5,1501,1538,1205
578,2025-11-26 12:47:15,5,1492,1534,1205
577,2025-11-26 12:47:15,5,1502,1533,1205
576,2025-11-26 12:47:15,5,1505,1532,1212
575,2025-11-26 12:47:15,5,1497,1528,1206
574,2025-11-26 12:47:15,5,1500,1532,1207
573,2025-11-26 12:47:15,5,1503,1530,1216
572,2025-11-26 12:47:15,5,1499,1539,1207
571,2025-11-26 12:47:15,5,1502,1539,1208
570,2025-11-26 12:47:14,5,1504,1535,1210
569,2025-11-26 12:47:14,5,1498,1531,1214
568,2025-11-26 12:47:14,5,1501,1531,1207
567,2025-11-26 12:47:14,5,1500,1536,1208
566,2025-11-26 12:47:14,5,1502,1531,1204
565,2025-11-26 12:47:14,5,1497,1534,1203
564,2025-11-26 12:47:14,5,1498,1535,1207
563,2025-11-26 12:47:14,5,1502,1531,1205
562,2025-11-26 12:47:14,5,1504,1538,1202
561,2025-11-26 12:47:14,5,1496,1531,1209
560,2025-11-26 12:47:14,5,1504,1539,1202
559,2025-11-26 12:47:14,5,1495,1543,1204
558,2025-11-26 12:47:14,5,1502,1535,1203
557,2025-11-26 12:47:14,5,1497,1542,1200
556,2025-11-26 12:47:14,5,1501,1538,1196
555,2025-11-26 12:47:14,5,1497,1537,1197
554,2025-11-26 12:47:14,5,1497,1540,1196
553,2025-11-26 12:47:14,5,1502,1536,1197
552,2025-11-26 12:47:14,5,1502,1534,1209
551,2025-11-26 12:47:14,5,1501,1533,1209
550,2025-11-26 12:47:14,5,1503,1534,1207
549,2025-11-26 12:47:14,5,1503,1528,1204
548,2025-11-26 12:47:14,5,1509,1531,1207
547,2025-11-26 12:47:14,5,1500,1524,1204
546,2025-11-26 12:47:14,5,1505,1526,1212
545,2025-11-26 12:47:14,5,1503,1524,1212
544,2025-11-26 12:47:14,5,1500,1530,1216
543,2025-11-26 12:47:13,5,1507,1533,1212
542,2025-11-26 12:47:13,5,1498,1531,1210
541,2025-11-26 12:47:13,5,1502,1531,1209
540,2025-11-26 12:47:13,5,1503,1531,1205
539,2025-11-26 12:47:13,5,1505,1531,1205
538,2025-11-26 12:47:13,5,1503,1534,1200
537,2025-11-26 12:47:13,5,1497,1533,1204
536,2025-11-26 12:47:13,5,1494,1533,1202
535,2025-11-26 12:47:13,5,1498,1533,1197
534,2025-11-26 12:47:13,5,1497,1531,1200
533,2025-11-26 12:47:13,5,1503,1545,1198
532,2025-11-26 12:47:13,5,1497,1538,1206
531,2025-11-26 12:47:13,5,1501,1541,1206
530,2025-11-26 12:47:13,5,1493,1536,1205
529,2025-11-26 12:47:13,5,1495,1532,1207
528,2025-11-26 12:47:13,5,1504,1528,1207
527,2025-11-26 12:47:13,5,1504,1527,1210
526,2025-11-26 12:47:13,5,1511,1526,1208
525,2025-11-26 12:47:13,5,1511,1528,1216
524,2025-11-26 12:47:13,5,1509,1528,1215
523,2025-11-26 12:47:12,5,1510,1527,1214
522,2025-11-26 12:47:12,5,1506,1523,1208
521,2025-11-26 12:47:12,5,1508,1524,1212
520,2025-11-26 12:47:12,5,1502,1529,1212
519,2025-11-26 12:47:12,5,1504,1531,1211
518,2025-11-26 12:47:12,5,1498,1524,1203
517,2025-11-26 12:47:12,5,1502,1529,1211
516,2025-11-26 12:47:12,5,1503,1524,1209
515,2025-11-26 12:47:12,5,1503,1531,1204
514,2025-11-26 12:47:12,5,1497,1535,1209
513,2025-11-26 12:47:12,5,1498,1531,1202
512,2025-11-26 12:47:12,5,1502,1535,1196
511,2025-11-26 12:47:12,5,1498,1531,1199
510,2025-11-26 12:47:12,5,1501,1529,1205
509,2025-11-26 12:47:12,5,1494,1529,1183
508,2025-11-26 12:47:12,5,1495,1524,1204
507,2025-11-26 12:47:12,5,1496,1524,1209
506,2025-11-26 12:47:12,5,1504,1527,1208
505,2025-11-26 12:47:12,5,1502,1530,1208
504,2025-11-26 12:47:12,5,1504,1528,1211
503,2025-11-26 12:47:12,5,1511,1524,1208
502,2025-11-26 12:47:12,5,1508,1528,1212
501,2025-11-26 12:47:12,5,1505,1529,1209
500,2025-11-26 12:46:59,4,1444,1544,1803
499,2025-11-26 12:46:59,4,1440,1545,1799
